,meanings,translations,words
0,the feeling that accompanies an experience of being thwarted in attaining your goals,розчарування,frustrations
1,a slow mode of locomotion on hands and knees or dragging the body,повзати,crawling
2,ordinariness as a consequence of being average and not outstanding,посередність,mediocrity
3,marked by firm determination or resolution; not shakable,непохитний,unwavering
4,develop or come to a promising stage,розгорнутися,unfold
5,psychic activity just below the level of awareness,підсвідомість,subconscious
6,a regulator for automatically regulating temperature by starting or stopping the supply of heat,термостат,thermostat
7,an area composed of subdivided lots,підрозділи,subdivisions
8,in an amazing manner; to everyone's surprise,дивно,astonishingly
9,an unbroken series of events,смуга,streak
10,a feeling of being of little worth,самостійна амортизація,self-depreciation
11,capable of being sold; fit for sale,доброзичливий,salable
12,a person who exercises control over workers,майстри,foremen
13,NO MEANING FOUND,метушливий,fussy 
14,a productive insight,прориви,breakthroughs
15,with extreme conscientiousness,сумлінно,conscientiously
16,NO MEANING FOUND,самоврядування,self-administered
17,clear or deep perception of a situation,в поле зору,insight
18,NO MEANING FOUND,excusitis,excusitis
19,NO MEANING FOUND,розум-мертва,mind-deadening
20,NO MEANING FOUND,книжковий,bookful
21,an often persistent bodily disorder or disease; a cause for complaining,недуги,ailments
22,someone who is not a clergyman or a professional person,мирянин,layman
23,beyond or deviating from the usual or expected,своєрідний,peculiar
24,take into custody,арештований,arrested
25,a structure in a hollow organ (like the heart) with a flap to insure one-way flow of fluid through it,клапан,valve
26,part of an organism consisting of an aggregate of cells having a similar structure and function,тканина,tissue
27,a piston syringe that is fitted with a hypodermic needle for giving injections,підшкірні залози,hypodermics
28,a social club for male undergraduates,братство,fraternity
29,the condition of being unable to perform as a consequence of physical or mental unfitness,гандикап,handicap
30,a distinct feature or element in a problem,хлопець,facet
31,primly fastidious,стара-дідька,old-maidish
32,a professor or minister who is retired from assigned duties,емерит,emeritus
33,a muscular sac attached to the liver that stores bile (secreted by the liver) until it is needed for digestion,жовчний міхур,gallbladder
34,treat cruelly,обірваний,ragged
35,any unwholesome or desperate condition,хвороба,malady
36,a specific piece of work required to be done as a duty or for a specific fee,робота,chore
37,an unforeseen or unexpected or surprising difficulty,ломка,pitfall
38,goods carried by a large vehicle,фрахт,freight
39,"make a hole, especially with a pointed power or hand tool",пробурена,drilled
40,a male servant (especially a footman),гучний,flunky
41,a cocktail made of a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar,кислий,sour
42,"become an ally or associate, as by a treaty or marriage",союзник,allied
43,consisting of a haphazard assortment of different kinds,різне,miscellaneous
44,"an amber, watery fluid, rich in proteins, that separates out when blood coagulates",сироватка,serum
45,an abraded area where the skin is torn or worn off,подряпати,scratch
46,a group of people who adhere to a common faith and habitually attend a given church,згромадження,congregation
47,NO MEANING FOUND,брокерської,stockbrokerage
48,sturdy and strong in constitution or construction; enduring,міцний,rugged
49,directed up,вгору,upward
50,one of greater rank or station or quality,начальник,superior
51,give moral or emotional strength to,заспокійливий,soothing
52,concerned with or comprehending only what is apparent or obvious; not deep or penetrating emotionally or intellectually,поверхневий,superficial
53,the act of grasping,зчеплення,grip
54,entrap,набридло,mired
55,activity leading to skilled behavior,догляд за волоссям,grooming
56,any plant that crowds out cultivated plants,бур'ян,weed
57,directly and without evasion; not roundabout,прямо,squarely
58,housing for a crankshaft,картера,crankcase
59,the state of being inferior,неповноцінність,inferiority
60,poorly adjusted to demands and stresses of daily living,неправильно,maladjusted
61,a holiday taken by a newly married couple,медовий місяць,honeymoon
62,cast aside capriciously or unfeelingly,спустився,jilted
63,cut teeth into; make a jagged cutting edge,зубчастий,jagged
64,a slight indication,ключ,clue
65,a strange attitude or habit,Привиди,quirk
66,common jay of eastern North America; bright blue with grey breast,jaybird,jaybird
67,being the only one; single and isolated from others,самотній,lonesome
68,deficient in amount or quality or extent,мізерний,meager
69,feeling or showing extreme anger,роздратований,irate
70,rebuking a person harshly,язик-клеймо,tongue-lashing
71,a judgment disposing of the matter without a trial,звільнення,dismissal
72,a remote or indirect consequence of some action,наслідки,repercussions
73,a mental position from which things are viewed,точки зору,standpoint
74,an address of a religious nature (usually delivered during a church service),проповідь,sermon
75,a substance from which another substance is formed (especially by a metabolic reaction),попередник,precursor
76,a courteous or respectful or considerate act,люб'язно,courtesy
77,obvious to the eye or mind,помітний,conspicuous
78,without concealment or deception; honest,згори,aboveboard
79,a short trip that is taken in the performance of a necessary task or mission,доручення,errands
80,negligent of neatness especially in dress and person; habitually dirty and unkempt,смутно,slovenly
81,moving slowly,млявий,sluggish
82,the rate of moving (especially walking or running),темп,pace
83,burrowing marine mollusk living on sand or mud; the shell closes with viselike firmness,clam,clam
84,the state of needing something that is absent or unavailable,дефіцит,deficiency
85,feeling downcast and disheartened and hopeless,смуток,despondency
86,final or last in your life or progress,вищий,supreme
87,NO MEANING FOUND,ти сам,thyself
88,consisting of or having the hardness of adamant,адамантін,adamantine
89,a seductive woman who uses her sex appeal to exploit men,кокетка,coquette
90,overcome,владний,overbearing
91,an expression of approval and commendation,хвалити,praise
92,an area of ground used for some particular purpose (such as building or farming),земельна ділянка,acreage
93,a state of irritation or annoyance,хафф,huff
94,having precise or logical relevance to the matter at hand,відповідний,pertinent
95,a United States coin worth one tenth of a dollar,dimes,dimes
96,providence by virtue of planning prudently for the future,передбачення,foresight
97,directed or facing toward the back or rear,назад,backward
98,lacking refinement or cultivation or taste,нерозумний,uncouth
99,a second-rate prize fighter,stumblebums,stumblebums
100,secure with a cramp,стиснута,cramped
101,utility consisting of the pipes and fixtures for the distribution of water or gas in a building and for the disposal of sewage,сантехніка,plumbing
102,a noticeable deterioration in performance or quality,спад,slump
103,very bad,божевільний,lousy
104,projectiles to be fired from a gun,боєприпаси,ammunition
105,(of persons or their actions) able or disposed to inflict pain or suffering,порочний,vicious
106,(usually followed by `to') naturally disposed toward,apt,apt
107,"add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing",розробити,elaborate
108,speak haltingly,переймаючись,stammering
109,the occurrence of a change for the worse,знецінення,impairment
110,an untroubled state; free from disturbances,спокій,tranquillity
111,"take temporary possession of as a security, by legal authority",закріплений,impounded
112,a bitter quarrel between two parties,ворога,feud
113,entrenchment consisting of an additional interior fortification to prolong the defense,скорочення,retrenchment
114,a misconception resulting from incorrect reasoning,помилка,fallacy
115,of or relating to or involving or used in surgery,хірургічне,surgical
116,(frequently plural) an expense not budgeted or not specified,випадкові помилки,incidentals
117,"open to arguments, ideas, or change",рецептивний,receptive
118,any of numerous extinct elephants widely distributed in the Pleistocene; extremely large with hairy coats and long upcurved tusks,мамонта,mammoth
119,NO MEANING FOUND,Елерорат,eleborate
120,an electrical load that exceeds the available electrical power,перевантаження,overload
121,a route shorter than the usual one,ярлики,shortcuts
122,a structure in a hollow organ (like the heart) with a flap to insure one-way flow of fluid through it,клапан,valve
123,a midday meal,обід,luncheon
124,used until no longer useful,зношений,worn-out
125,young plant or tree grown from a seed,саджанці,seedlings
126,conducive to or characteristic of physical or moral well-being,корисний,wholesome
127,a support consisting of an arrangement of straps for holding something to the body (especially one supporting a person suspended from a parachute),збруя,harness
128,an ambiguity (especially one in the text of a law or contract) that makes it possible to evade a difficulty or obligation,лазівка,loophole
129,in a grudging manner,нещадно,grudgingly
130,NO MEANING FOUND,нижче,inferior 
131,coating consisting of a thin layer of superior wood glued to a base of inferior wood,шпон,veneer
132,a high steep bank (usually formed by river erosion),блеф,bluff
133,a musical notation indicating one half step higher than the note named,гострий,sharp
134,a courteous or respectful or considerate act,люб'язно,courtesy
135,the classification of someone or something with respect to its worth,оцінка,appraisal
136,an article of clothing,одяг,garment
137,NO MEANING FOUND,точка-чорна,point-black
138,forcible indoctrination into a new set of attitudes and beliefs,промивання мізків,brainwashing
139,"without variation or change, in every case",незмінно,invariably
140,a belittling comment,приниження,belittling
141,a behavioral attribute that is distinctive and peculiar to an individual,манерам,mannerisms
142,lengthen in time; cause to be or last longer,тривалий час,prolonged
143,bring into an improved condition,відновлювати,recondition
144,tending to suppress,супресивний,suppressive
145,the lack of knowledge or education,невігластво,ignorance
146,a large indefinite number,безліч людей,multitude
147,NO MEANING FOUND,безвихідь,dead-ended
148,a groove or furrow (especially one in soft earth caused by wheels),рут,rut
149,NO MEANING FOUND,мимоволі,uwittingly
150,a children's game played with little balls made of a hard substance (as glass),кульки,marbles
151,a gymnastic horse without pommels and with one end elongated; used lengthwise for vaulting,долар,buck
152,NO MEANING FOUND,чернетка-чоловік,draft-man
153,a stupid person; these words are used to express a low opinion of someone's intelligence,лункхед,lunkhead
154,the location of something surrounded by other things,середній,midst
155,of or relating to or resembling or expressed in a proverb,прислів'я,proverbial
156,lacking in liveliness or charm or surprise,мріє,dreary
157,usually paved outdoor area adjoining a residence,внутрішній дворик,patio
158,strong enough to knock down or overwhelm,Нокдаун,knock-down
159,a device or control that is very useful for a particular job,прилад,appliance
160,difficult to detect or grasp by the mind or analyze,витончений,subtle
161,NO MEANING FOUND,твердо,fest
162,in a close manner,тісно,intimately
163,a small explosive bomb thrown by hand or fired from a missile,граната,grenade
164,an unaccented beat (especially the last beat of a measure),відчайдушний,offbeat
165,containing an unusual amount of grease or oil,жирний,greasy
166,customers collectively,клієнтура,clientele
167,costing less than standard price,скорочення курсу,cut-rate
168,NO MEANING FOUND,книжковий,bookful
169,a change in the form of a word (usually by adding a suffix) to indicate a change in its grammatical function,перевертання,inflection
170,suggesting the operation of supernatural influences,непристойний,uncanny
171,an associative relation,зв'язок,linkage
172,NO MEANING FOUND,патетично,pahetically
173,a long narrow passage (as in a cave or woods),прохід,aisle
174,a comedy characterized by broad satire and improbable situations,фарс,farce
175,a list of employees and their salaries,фонд оплати праці,payroll
176,the likelihood of a thing occurring rather than not occurring,шанси,odds
177,robust hairy social bee of temperate regions,джмель,bumblebee
178,NO MEANING FOUND,необов'язковість,nonnecessity
179,NO MEANING FOUND,наклеєний,pasted-on
180,having an elastic texture resembling rubber in flexibility or toughness,гумовий,rubbery
181,NO MEANING FOUND,смити,gleep
182,the process of taking food into the body through the mouth (as by eating),поглинання,uptake
183,forceful exertion,сила,vigor
184,the process of decomposing organic matter (as in sewage) by bacteria or by chemical action or heat,травлення,digestion
185,a step in walking or running,крокувати,stride
186,showing approval,вигідно,favorably
187,to a degree exceeding normal or proper limits,надмірно,overly
188,a saying that is widely accepted on its own merits,максимальна,maxim
189,a physiological need for food; the consequence of food deprivation,голод,hunger
190,a situation from which extrication is difficult especially an unpleasant or trying one,скрутне становище,predicament
191,NO MEANING FOUND,слонова кістка,ivory-tower
192,an embarrassing mistake,помилка,blunder
193,a courteous or respectful or considerate act,люб'язно,courtesy
194,NO MEANING FOUND,п'ятдесятників,fiftyish
195,NO MEANING FOUND,глибоко вниз,deep-down
196,an expression of approval and commendation,хвалити,praise
197,marked by practical hardheaded intelligence,нахабний,shrewd
198,a feeling of deep and bitter anger and ill-will,обурення,resentment
199,with unconditional and enthusiastic devotion,цілий серце,wholehearted
200,someone whose occupation is preaching the gospel,проповідник,preacher
201,directed or facing toward the back or rear,назад,backward
202,NO MEANING FOUND,газу-до,gas-up
203,transparent screen (as of glass) to protect occupants of a vehicle,вітрове скло,windshield
204,covered with a layer of dust,пильний,dusty
205,a net of transparent fabric with a loose open weave,сітка,netting
206,an open sore on the back of a horse caused by ill-fitting or badly adjusted saddle,може,gall
207,a special variety of domesticated animals within a species,порода,breed
208,a popular trend that attracts growing support,перемога,bandwagon
209,an edge tool with a flat steel blade with a cutting edge,долото,chisel
210,a person who leaves a tip,самоскид,tipper
211,moderately warm,теплий,lukewarm
212,a V-shaped indentation,нот,notch
213,be or do something to a greater degree,вихідний,outgoing
214,(physics) deformation of a physical body under the action of applied forces,деформація,strain
215,causing abrasion,царапини,scratchy
216,a resentment strong enough to justify retaliation,скарги,grievance
217,an alcoholic beverage that is distilled rather than fermented,випий,booze
218,one after the other,послідовний,consecutive
219,showing a high degree of refinement and the assurance that comes from wide social experience,міський,urbane
220,people who are fearful and cautious,боязкий,timid
221,NO MEANING FOUND,нудбікальний,numbskull
222,NO MEANING FOUND,гладко звучать,smooth-sounding
223,happening in or being of another town or city,у від'їзді,out-of-town
224,a person regarded as greedy and pig-like,свинячий,hog
225,(law) an agreement or concession made by parties in a judicial proceeding (or by their attorneys) relating to the business before the court; must be in writing unless they are part of the court record,обумовленість,stipulation
226,NO MEANING FOUND,неприборканий,unpretensious
227,concluding state of pregnancy; from the onset of contractions to the birth of a child,ув'язнення,confinement
228,a roundabout road (especially one that is used temporarily while a main route is blocked),Об’їзд,detour
229,someone who broadcasts the news,журналіст,newscaster
230,(usually plural) discussion of all sides of a question,обговорення,deliberation
231,load or cover with stacks,укладання,stacking
232,NO MEANING FOUND,ультраманія,ultrafancy
233,insulate against noise,звукоізоляція,soundproof
234,a United States dry measure equal to 4 pecks or 2152.42 cubic inches,бушель,bushel
235,a category falling within certain defined limits,кронштейн,bracket
236,uncastrated adult male of domestic cattle,бик,bull
237,NO MEANING FOUND,стоячи,stand-still
238,the soft brown fur of the beaver,бобра,beaver
239,a line that marks the side boundary of a playing field,бічна сторона,sideline
240,one of a pair of planks used to make a track for rolling or sliding objects,скайд,skid
241,a channel along the eaves or on the roof; collects and carries away rainwater,жолоби,gutters
242,beat severely with a whip or rod,збити,whipped
243,a person who is rejected (from society or home),вигнаний,outcast
244,a district of a city marked by poverty and inferior living conditions,трущоб,slum
245,an argument opposed to a proposal,з,con
246,an unfortunate happening that hinders or impedes; something that is thwarting or frustrating,невдача,setback
247,someone who fights (or is fighting),войовничий,belligerent
248,incapable of or resistant to bending,жорсткий,rigid
249,a line of approach,шляхи,avenues
250,make a strident sound,підірваний,blasted
251,an open skin infection,болить,sore
252,fail to get a passing grade,флункінг,flunking
253,(botany) a plant lasting for three seasons or more,багаторічна,perennial
254,of or relating to or characteristic of literature,літературно,literary
255,a sturdy thickset short-haired breed with a large head and strong undershot lower jaw; developed originally in England for bull baiting,бульдог,bulldog
256,of or relating to or caused by magnetism,магнітний,magnetic
257,an outward semblance that misrepresents the true nature of something,маскувати,disguise
258,filled or abounding with fog or mist,туманний,hazy
259,NO MEANING FOUND,кар'єри,careerwise
260,be incompatible; be or come into conflict,балаканина,jarred
261,any admirable quality or attribute,заслуга,merit
262,fraught with uncertainty or doubt,сумнівний,dubious
263,the descendants of one individual,родовід,pedigree
264,NO MEANING FOUND,dimestores,dimestores
265,turn sharply; change direction abruptly,чистий,sheer
266,NO MEANING FOUND,гек,heck
267,designating the generation of organisms from which hybrid offspring are produced,батьківський,parental
268,a quantity of no importance,zip,zip
269,fix firmly or securely,укорінений,entrenched
270,(used to introduce a logical conclusion) from that fact or reason or as a result,отже,hence
271,not clearly understood or expressed,неясний,vague
272,full of ruts,рутти,rutty
273,duration of service,довговічність,longevity
274,the biological process whereby genetic factors are transmitted from one generation to the next,спадковість,heredity
275,a bad-tempered person,засмучений,grump
